dip,dib,rm,ind_corr,v_corr,perc_juros,v_juros,rm_atual,v_ant,v_atual,soma,parcelas,p_ant,p_atual
01/12/2024,01/01/2010,637.5,2.01149,1282.32603,0.3426,439.3249,1721.65093,64309.71691,20410.28309,84720.0,156,168,11
01/12/2024,01/02/2010,637.5,2.00109,1275.69243,0.3426,437.05223,1712.74465,64309.71691,20410.28309,84720.0,155,167,11
01/12/2024,01/03/2010,637.5,1.98245,1263.81259,0.3426,432.98219,1696.79478,64309.71691,20410.28309,84720.0,154,166,11
01/12/2024,01/04/2010,637.5,1.97161,1256.89964,0.3426,430.61382,1687.51346,64309.71691,20410.28309,84720.0,153,165,11
01/12/2024,01/05/2010,637.5,1.96219,1250.89535,0.3426,428.55675,1679.45209,64309.71691,20410.28309,84720.0,152,164,11
01/12/2024,01/06/2010,637.5,1.9499,1243.06404,0.3426,425.87374,1668.93778,64309.71691,20410.28309,84720.0,151,163,11
01/12/2024,01/07/2010,637.5,1.94621,1240.7067,0.3426,425.06612,1665.77282,64309.71691,20410.28309,84720.0,150,162,11
01/12/2024,01/08/2010,637.5,1.94796,1241.82434,0.3426,425.44902,1667.27336,64309.71691,20410.28309,84720.0,149,161,11
01/12/2024,01/09/2010,637.5,1.94893,1242.44557,0.3426,425.66185,1668.10742,64309.71691,20410.28309,84720.0,148,160,11
01/12/2024,01/10/2010,637.5,1.94291,1238.60588,0.3426,424.34638,1662.95226,64309.71691,20410.28309,84720.0,147,159,11
01/12/2024,01/11/2010,637.5,1.93094,1230.97385,0.3426,421.73164,1652.70549,64309.71691,20410.28309,84720.0,146,158,11
01/12/2024,01/12/2010,1275,1.91447,2440.95547,0.3426,836.27134,3277.22682,64309.71691,20410.28309,84720.0,145,157,11
01/12/2024,01/01/2011,675,1.90136,1283.41498,0.3426,439.69797,1723.11296,64309.71691,20410.28309,84720.0,156,156,11
01/12/2024,01/02/2011,675,1.88701,1273.7346,0.3426,436.38147,1710.11607,64309.71691,20410.28309,84720.0,155,155,11
01/12/2024,01/03/2011,681.25,1.86889,1273.17861,0.3426,436.19099,1709.3696,64309.71691,20410.28309,84720.0,154,154,11
01/12/2024,01/04/2011,681.25,1.85774,1265.5851,0.3426,433.58945,1699.17455,64309.71691,20410.28309,84720.0,153,153,11
01/12/2024,01/05/2011,681.25,1.84354,1255.91455,0.3426,430.27633,1686.19088,64309.71691,20410.28309,84720.0,152,152,11
01/12/2024,01/06/2011,681.25,1.83073,1247.18427,0.3426,427.28533,1674.4696,64309.71691,20410.28309,84720.0,151,151,11
01/12/2024,01/07/2011,681.25,1.82653,1244.32232,0.3426,426.30483,1670.62715,64309.71691,20410.28309,84720.0,150,150,11
01/12/2024,01/08/2011,681.25,1.8247,1243.07925,0.3426,425.87895,1668.9582,64309.71691,20410.28309,84720.0,149,149,11
01/12/2024,01/09/2011,681.25,1.81979,1239.73196,0.3426,424.73217,1664.46414,64309.71691,20410.28309,84720.0,148,148,11
01/12/2024,01/10/2011,681.25,1.8102,1233.19603,0.3426,422.49296,1655.68899,64309.71691,20410.28309,84720.0,147,147,11
01/12/2024,01/11/2011,681.25,1.80262,1228.03827,0.3426,420.72591,1648.76418,64309.71691,20410.28309,84720.0,146,146,11
01/12/2024,01/12/2011,1362.5,1.79437,2444.83031,0.3426,837.59886,3282.42917,64309.71691,20410.28309,84720.0,145,145,11
01/12/2024,01/01/2012,777.5,1.78438,1387.35417,0.3426,475.30754,1862.66172,64309.71691,20410.28309,84720.0,144,144,11
01/12/2024,01/02/2012,777.5,1.77285,1378.39461,0.3426,472.23799,1850.6326,64309.71691,20410.28309,84720.0,143,143,11
01/12/2024,01/03/2012,777.5,1.76351,1371.12763,0.3426,469.74833,1840.87596,64309.71691,20410.28309,84720.0,142,142,11
01/12/2024,01/04/2012,777.5,1.75911,1367.70836,0.3426,468.57688,1836.28524,64309.71691,20410.28309,84720.0,141,141,11
01/12/2024,01/05/2012,777.5,1.75158,1361.85239,0.3426,466.57063,1828.42302,64309.71691,20410.28309,84720.0,140,140,11
01/12/2024,01/06/2012,777.5,1.74269,1354.94219,0.3426,464.20319,1819.14538,64309.71691,20410.28309,84720.0,139,139,11
01/12/2024,01/07/2012,777.5,1.73956,1352.50767,0.3426,463.36913,1815.8768,64309.71691,20410.28309,84720.0,138,138,11
01/12/2024,01/08/2012,777.5,1.73384,1348.05908,0.3426,461.84504,1809.90413,64309.71691,20410.28309,84720.0,137,137,11
01/12/2024,01/09/2012,777.5,1.7271,1342.82208,0.3426,460.05084,1802.87292,64309.71691,20410.28309,84720.0,136,136,11
01/12/2024,01/10/2012,777.5,1.71885,1336.40732,0.3426,457.85315,1794.26047,64309.71691,20410.28309,84720.0,135,135,11
01/12/2024,01/11/2012,777.5,1.70775,1327.77677,0.3426,454.89632,1782.67309,64309.71691,20410.28309,84720.0,134,134,11
01/12/2024,01/12/2012,1555,1.69858,2641.29058,0.3426,904.90615,3546.19673,64309.71691,20410.28309,84720.0,133,133,11
01/12/2024,01/01/2013,847.5,1.68694,1429.68103,0.3426,489.80872,1919.48975,64309.71691,20410.28309,84720.0,132,132,11
01/12/2024,01/02/2013,847.5,1.67222,1417.20959,0.3426,485.536,1902.74559,64309.71691,20410.28309,84720.0,131,131,11
01/12/2024,01/03/2013,847.5,1.66093,1407.63765,0.3426,482.25666,1889.89431,64309.71691,20410.28309,84720.0,130,130,11
01/12/2024,01/04/2013,847.5,1.65283,1400.77386,0.3426,479.90512,1880.67898,64309.71691,20410.28309,84720.0,129,129,11
01/12/2024,01/05/2013,847.5,1.64444,1393.66615,0.3426,477.47002,1871.13618,64309.71691,20410.28309,84720.0,128,128,11
01/12/2024,01/06/2013,847.5,1.63691,1387.28465,0.3426,475.28372,1862.56837,64309.71691,20410.28309,84720.0,127,127,11
01/12/2024,01/07/2013,847.5,1.63072,1382.03292,0.3426,473.48448,1855.5174,64309.71691,20410.28309,84720.0,126,126,11
01/12/2024,01/08/2013,847.5,1.62958,1381.06618,0.3426,473.15327,1854.21945,64309.71691,20410.28309,84720.0,125,125,11
01/12/2024,01/09/2013,847.5,1.62697,1378.86,0.3426,472.39744,1851.25743,64309.71691,20410.28309,84720.0,124,124,11
01/12/2024,01/10/2013,847.5,1.62259,1375.1471,0.3426,471.1254,1846.2725,64309.71691,20410.28309,84720.0,123,123,11
01/12/2024,01/11/2013,847.5,1.61484,1368.57793,0.3426,468.8748,1837.45272,64309.71691,20410.28309,84720.0,122,122,11
01/12/2024,01/12/2013,1695,1.60569,2721.6425,0.3426,932.43472,3654.07722,64309.71691,20410.28309,84720.0,121,121,11
01/12/2024,01/01/2014,905,1.59374,1442.33087,0.3426,494.14256,1936.47343,64309.71691,20410.28309,84720.0,120,120,11
01/12/2024,01/02/2014,905,1.58313,1432.73157,0.3426,490.85384,1923.58541,64309.71691,20410.28309,84720.0,119,119,11
01/12/2024,01/03/2014,905,1.57212,1422.77217,0.3426,487.44174,1910.21391,64309.71691,20410.28309,84720.0,118,118,11
01/12/2024,01/04/2014,905,1.56073,1412.4612,0.3426,483.90921,1896.37041,64309.71691,20410.28309,84720.0,117,117,11
01/12/2024,01/05/2014,905,1.54865,1401.52927,0.3426,480.16393,1881.6932,64309.71691,20410.28309,84720.0,116,116,11
01/12/2024,01/06/2014,905,1.53972,1393.44728,0.3426,477.39504,1870.84232,64309.71691,20410.28309,84720.0,115,115,11
01/12/2024,01/07/2014,905,1.53252,1386.92871,0.3426,475.16178,1862.09048,64309.71691,20410.28309,84720.0,114,114,11
01/12/2024,01/08/2014,905,1.52992,1384.57493,0.3426,474.35537,1858.9303,64309.71691,20410.28309,84720.0,113,113,11
01/12/2024,01/09/2014,905,1.52778,1382.63924,0.3426,473.6922,1856.33145,64309.71691,20410.28309,84720.0,112,112,11
01/12/2024,01/10/2014,905,1.52184,1377.2679,0.3426,471.85198,1849.11988,64309.71691,20410.28309,84720.0,111,111,11
01/12/2024,01/11/2014,905,1.51457,1370.68859,0.3426,469.59791,1840.2865,64309.71691,20410.28309,84720.0,110,110,11
01/12/2024,01/12/2014,1810,1.50884,2730.99939,0.3426,935.64039,3666.63978,64309.71691,20410.28309,84720.0,109,109,11
01/12/2024,01/01/2015,985,1.49701,1474.55783,0.3426,505.18351,1979.74135,64309.71691,20410.28309,84720.0,108,108,11
01/12/2024,01/02/2015,985,1.48381,1461.55004,0.3426,500.72704,1962.27709,64309.71691,20410.28309,84720.0,107,107,11
01/12/2024,01/03/2015,985,1.46433,1442.36657,0.3426,494.15479,1936.52135,64309.71691,20410.28309,84720.0,106,106,11
01/12/2024,01/04/2015,985,1.4464,1424.70029,0.3426,488.10232,1912.8026,64309.71691,20410.28309,84720.0,105,105,11
01/12/2024,01/05/2015,985,1.43108,1409.61738,0.3426,482.93491,1892.55229,64309.71691,20410.28309,84720.0,104,104,11
01/12/2024,01/06/2015,985,1.42255,1401.21011,0.3426,480.05459,1881.2647,64309.71691,20410.28309,84720.0,103,103,11
